name,served,landed,predict_land,internal_name,has_own_internalname,iname_eq_filename_ci,registry_owner,class_abstract,parent,cookrule_eff,shipping_version,pool_eff,hero,xp,n_objectives,path
Alchemist_UltMultihit_3,True,True,True,Alchemist_UltMultihit_3,True,True,Alchemist_UltMultihit_3,False,Alchemist_UltMultihit,Production,1.2,HunterMissions,Alchemist,20000,1,/Game/Loki/Core/Missions/HunterMissions/Alchemist/DA_Mission_Alchemist_UltMultihit_3.1
ArmoryDaily_CompleteDailies,True,False,False,Armory_CompleteDailies,True,False,,False,,Production,1.0,DailyChallenge,,7500,1,/Game/Loki/Core/Missions/Armory/ArmoryDailies/DA_Mission_ArmoryDaily_CompleteDailies.1
ArmoryDaily_GetKnocks,True,True,True,ArmoryDaily_GetKnocks,True,True,ArmoryDaily_GetKnocks,False,,Production,1.0,Daily,,2500,1,/Game/Loki/Core/Missions/Armory/ArmoryDailies/DA_Mission_ArmoryDaily_GetKnocks.1
ArmoryDaily_PlayAGame,True,True,True,ArmoryDaily_PlayAGame,True,True,ArmoryDaily_PlayAGame,False,,Production,1.0,DailyChallenge,,2500,1,/Game/Loki/Core/Missions/Armory/ArmoryDailies/DA_Mission_ArmoryDaily_PlayAGame.1
ArmoryDaily_PurchaseItems,True,False,False,ArmoryDaily_PurchaseEquipmentOrTrinkets,True,False,,False,,Production,1.0,Daily,,2500,1,/Game/Loki/Core/Missions/Armory/ArmoryDailies/DA_Mission_ArmoryDaily_PurchaseItems.1
ArmoryDaily_Sunrises,True,True,True,ArmoryDaily_Sunrises,True,True,ArmoryDaily_Sunrises,False,,Production,1.0,Daily,,2500,1,/Game/Loki/Core/Missions/Armory/ArmoryDailies/DA_Mission_ArmoryDaily_Sunrises.1
ArmoryOnboarding_1,True,False,False,ArmoryOnboarding_PlayBR_1,True,False,,False,,Production,1.0,Onboarding,,3500,1,/Game/Loki/Core/Missions/Armory/ArmoryOnboarding/DA_Mission_ArmoryOnboarding_1.1
ArmoryOnboarding_2,True,False,False,ArmoryOnboarding_PurchaseEquipment_1,True,False,,False,,Production,1.0,Onboarding,,3500,1,/Game/Loki/Core/Missions/Armory/ArmoryOnboarding/DA_Mission_ArmoryOnboarding_2.1
ArmoryOnboarding_3,True,False,False,ArmoryOnboarding_OpenCapsule_1,True,False,,False,,Production,1.0,Onboarding,,3500,1,/Game/Loki/Core/Missions/Armory/ArmoryOnboarding/DA_Mission_ArmoryOnboarding_3.1
Armory_WeeklyBossKills,True,True,True,Armory_WeeklyBossKills,True,True,Armory_WeeklyBossKills,False,,Production,1.0,Weekly,,15000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyBossKills.1
Armory_WeeklyBoxes,True,True,True,Armory_WeeklyBoxes,True,True,Armory_WeeklyBoxes,False,,Production,1.0,Weekly,,15000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyBoxes.1
Armory_WeeklyCaptureBonfires,True,True,True,Armory_WeeklyCaptureBonfires,True,True,Armory_WeeklyCaptureBonfires,False,,Production,1.0,Weekly,,15000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyCaptureBonfires.1
Armory_WeeklyFullKit,True,False,False,Armory_WeeklyPurchaseEquipment,True,False,,False,,Production,1.0,Weekly,,15000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyFullKit.1
Armory_WeeklyMinions,True,True,True,Armory_WeeklyMinions,True,True,Armory_WeeklyMinions,False,,Production,1.0,Weekly,,15000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyMinions.1
Armory_WeeklyPlayUniqueHunters,True,True,True,Armory_WeeklyPlayUniqueHunters,True,True,Armory_WeeklyPlayUniqueHunters,False,,Production,1.0,Weekly,,15000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyPlayUniqueHunters.1
Armory_WeeklyTeamWipes,True,True,True,Armory_WeeklyTeamWipes,True,True,Armory_WeeklyTeamWipes,False,,Production,1.0,Weekly,,15000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyTeamWipes.1
Armory_WeeklyVaults,True,True,True,Armory_WeeklyVaults,True,True,Armory_WeeklyVaults,False,,Production,1.0,Weekly,,15000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyVaults.1
Armory_WeeklyWinGame,True,True,True,Armory_WeeklyWinGame,True,True,Armory_WeeklyWinGame,False,,Production,1.0,WeeklyChallenges,,20000,1,/Game/Loki/Core/Missions/Armory/ArmoryWeekly/DA_Mission_Armory_WeeklyWinGame.1
Assault_CombatSlideFrequently_1,True,False,False,AssaultMastery_CombatSlide1,True,False,,False,Assault_CombatSlideFrequently_Base,Production,0.16,HunterMissions,assault,10000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/CombatSlideFrequently/DA_Mission_Assault_CombatSlideFrequently_1.1
Assault_CombatSlideFrequently_2,True,False,False,AssaultMastery_CombatSlide2,True,False,,False,Assault_CombatSlideFrequently_Base,Production,0.16,HunterMissions,assault,20000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/CombatSlideFrequently/DA_Mission_Assault_CombatSlideFrequently_2.1
Assault_CombatSlideFrequently_3,True,False,False,AssaultMastery_CombatSlide3,True,False,,False,Assault_CombatSlideFrequently_Base,Production,0.16,HunterMissions,assault,20000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/CombatSlideFrequently/DA_Mission_Assault_CombatSlideFrequently_3.1
Assault_CombatSlideFrequently_Base,True,False,False,,False,False,,True,,Never,,HunterMissions,assault,1000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/CombatSlideFrequently/DA_Mission_Assault_CombatSlideFrequently_Base.1
Assault_LMBDazedTargets_1,True,True,True,Assault_LMBDazedTargets_1,True,True,Assault_LMBDazedTargets_1,False,Assault_LMBDazedTargets_Base,Production,0.16,HunterMissions,assault,10000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/Assault_LMBDazedTargets/DA_Mission_Assault_LMBDazedTargets_1.1
Assault_LMBDazedTargets_2,True,True,True,Assault_LMBDazedTargets_2,True,True,Assault_LMBDazedTargets_2,False,Assault_LMBDazedTargets_Base,Production,0.16,HunterMissions,assault,20000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/Assault_LMBDazedTargets/DA_Mission_Assault_LMBDazedTargets_2.1
Assault_LMBDazedTargets_3,True,True,True,Assault_LMBDazedTargets_3,True,True,Assault_LMBDazedTargets_3,False,Assault_LMBDazedTargets_Base,Production,0.16,HunterMissions,assault,20000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/Assault_LMBDazedTargets/DA_Mission_Assault_LMBDazedTargets_3.1
Assault_LMBDazedTargets_Base,True,False,False,,False,False,,True,,Never,,HunterMissions,assault,,1,/Game/Loki/Core/Missions/HunterMissions/Assault/Assault_LMBDazedTargets/DA_Mission_Assault_LMBDazedTargets_Base.1
Assault_MultihitLaser_1,True,False,False,AssaultMultihitLaser_1,True,False,,False,Assault_MultihitLaser_Base,Production,0.16,HunterMissions,assault,10000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/MultihitLaser/DA_Mission_Assault_MultihitLaser_1.1
Assault_MultihitLaser_2,True,False,False,AssaultMultihitLaser_2,True,False,,False,Assault_MultihitLaser_Base,Production,0.16,HunterMissions,assault,20000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/MultihitLaser/DA_Mission_Assault_MultihitLaser_2.1
Assault_MultihitLaser_3,True,False,False,AssaultMultihitLaser_3,True,False,,False,Assault_MultihitLaser_Base,Production,0.16,HunterMissions,assault,20000,1,/Game/Loki/Core/Missions/HunterMissions/Assault/MultihitLaser/DA_Mission_Assault_MultihitLaser_3.1
Assault_MultihitLaser_Base,True,False,False,,False,False,,True,,Never,,HunterMissions,assault,,1,/Game/Loki/Core/Missions/HunterMissions/Assault/MultihitLaser/DA_Mission_Assault_MultihitLaser_Base.1
BacklineHealer_EKnockEnemiesTogether_1,True,False,False,BacklineHealerEKnockEnemiesTogether_1,True,False,,False,BacklineHealer_EKnockEnemiesTogether_Base,Production,0.16,HunterMissions,BacklineHealer,10000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/EKnockEnemiesTogether/DA_Mission_BacklineHealer_EKnockEnemiesTogether_1.1
BacklineHealer_EKnockEnemiesTogether_2,True,False,False,BacklineHealerEKnockEnemiesTogether_2,True,False,,False,BacklineHealer_EKnockEnemiesTogether_Base,Production,0.16,HunterMissions,BacklineHealer,20000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/EKnockEnemiesTogether/DA_Mission_BacklineHealer_EKnockEnemiesTogether_2.1
BacklineHealer_EKnockEnemiesTogether_3,True,False,False,BacklineHealerEKnockEnemiesTogether_3,True,False,,False,BacklineHealer_EKnockEnemiesTogether_Base,Production,0.16,HunterMissions,BacklineHealer,20000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/EKnockEnemiesTogether/DA_Mission_BacklineHealer_EKnockEnemiesTogether_3.1
BacklineHealer_EKnockEnemiesTogether_Base,True,False,False,,False,False,,True,,Never,,HunterMissions,BacklineHealer,,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/EKnockEnemiesTogether/DA_Mission_BacklineHealer_EKnockEnemiesTogether_Base.1
BacklineHealer_GaleForceProcs_1,True,False,False,Flow_GaleForceProcs_1,True,False,,False,BacklineHealer_GaleForceProcs_Base,Production,0.16,HunterMissions,BacklineHealer,10000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/GaleForceProcs/DA_Mission_BacklineHealer_GaleForceProcs_1.1
BacklineHealer_GaleForceProcs_2,True,False,False,Flow_GaleForceProcs_2,True,False,,False,BacklineHealer_GaleForceProcs_Base,Production,0.16,HunterMissions,BacklineHealer,20000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/GaleForceProcs/DA_Mission_BacklineHealer_GaleForceProcs_2.1
BacklineHealer_GaleForceProcs_3,True,False,False,Flow_GaleForceProcs_3,True,False,,False,BacklineHealer_GaleForceProcs_Base,Production,0.16,HunterMissions,BacklineHealer,20000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/GaleForceProcs/DA_Mission_BacklineHealer_GaleForceProcs_3.1
BacklineHealer_GaleForceProcs_Base,True,False,False,,False,False,,True,,Never,,HunterMissions,BacklineHealer,1000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/GaleForceProcs/DA_Mission_BacklineHealer_GaleForceProcs_Base.1
BacklineHealer_RMultiHitTargets_1,True,True,True,BacklineHealer_RMultiHitTargets_1,True,True,BacklineHealer_RMultiHitTargets_1,False,BacklineHealer_RMultiHitTargets_Base,Production,0.16,HunterMissions,BacklineHealer,10000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/RMultiHitTargets/DA_Mission_BacklineHealer_RMultiHitTargets_1.1
BacklineHealer_RMultiHitTargets_2,True,True,True,BacklineHealer_RMultiHitTargets_2,True,True,BacklineHealer_RMultiHitTargets_2,False,BacklineHealer_RMultiHitTargets_Base,Production,0.16,HunterMissions,BacklineHealer,20000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/RMultiHitTargets/DA_Mission_BacklineHealer_RMultiHitTargets_2.1
BacklineHealer_RMultiHitTargets_3,True,True,True,BacklineHealer_RMultiHitTargets_3,True,True,BacklineHealer_RMultiHitTargets_3,False,BacklineHealer_RMultiHitTargets_Base,Production,0.16,HunterMissions,BacklineHealer,20000,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/RMultiHitTargets/DA_Mission_BacklineHealer_RMultiHitTargets_3.1
BacklineHealer_RMultiHitTargets_Base,True,False,False,,False,False,,True,,Never,,HunterMissions,BacklineHealer,,1,/Game/Loki/Core/Missions/HunterMissions/BacklineHealer/RMultiHitTargets/DA_Mission_BacklineHealer_RMultiHitTargets_Base.1
Beebo_QKnockEnemies,True,False,False,,False,False,,True,,Production,0.19,HunterMissions,beebo,,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboQKnockEnemies/DA_Mission_Beebo_QKnockEnemies.1
Beebo_QKnockEnemies_1,True,False,False,BeeboMissionQKnockEnemies_1,True,False,,False,Beebo_QKnockEnemies,Production,0.19,HunterMissions,beebo,10000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboQKnockEnemies/DA_Mission_Beebo_QKnockEnemies_1.1
Beebo_QKnockEnemies_2,True,False,False,BeeboMissionQKnockEnemies_2,True,False,,False,Beebo_QKnockEnemies,Production,0.19,HunterMissions,beebo,20000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboQKnockEnemies/DA_Mission_Beebo_QKnockEnemies_2.1
Beebo_QKnockEnemies_3,True,False,False,BeeboMissionQKnockEnemies_3,True,False,,False,Beebo_QKnockEnemies,Production,0.19,HunterMissions,beebo,20000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboQKnockEnemies/DA_Mission_Beebo_QKnockEnemies_3.1
Beebo_RAbductEnemies,True,False,False,,False,False,,True,,Production,0.19,HunterMissions,beebo,,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboRAbductEnemies/DA_Mission_Beebo_RAbductEnemies.1
Beebo_RAbductEnemies_1,True,True,True,Beebo_RAbductEnemies_1,True,True,Beebo_RAbductEnemies_1,False,Beebo_RAbductEnemies,Production,0.19,HunterMissions,beebo,10000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboRAbductEnemies/DA_Mission_Beebo_RAbductEnemies_1.1
Beebo_RAbductEnemies_2,True,True,True,Beebo_RAbductEnemies_2,True,True,Beebo_RAbductEnemies_2,False,Beebo_RAbductEnemies,Production,0.19,HunterMissions,beebo,20000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboRAbductEnemies/DA_Mission_Beebo_RAbductEnemies_2.1
Beebo_RAbductEnemies_3,True,True,True,Beebo_RAbductEnemies_3,True,True,Beebo_RAbductEnemies_3,False,Beebo_RAbductEnemies,Production,0.19,HunterMissions,beebo,20000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboRAbductEnemies/DA_Mission_Beebo_RAbductEnemies_3.1
Beebo_RMBHitEnemies,True,False,False,,False,False,,True,,Production,0.19,HunterMissions,beebo,,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboRMBHitEnemies/DA_Mission_Beebo_RMBHitEnemies.1
Beebo_RMBHitEnemies_1,False,False,False,Beebo_RMBHitEnemies1,True,False,,False,Beebo_RMBHitEnemies,Production,0.19,HunterMissions,beebo,10000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboRMBHitEnemies/DA_Mission_Beebo_RMBHitEnemies_1.1
Beebo_RMBHitEnemies_2,True,False,False,Beebo_RMBHitEnemies2,True,False,,False,Beebo_RMBHitEnemies,Production,0.19,HunterMissions,beebo,20000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboRMBHitEnemies/DA_Mission_Beebo_RMBHitEnemies_2.1
Beebo_RMBHitEnemies_3,True,False,False,Beebo_RMBHitEnemies3,True,False,,False,Beebo_RMBHitEnemies,Production,0.19,HunterMissions,beebo,20000,1,/Game/Loki/Core/Missions/HunterMissions/Beebo/BeeboRMBHitEnemies/DA_Mission_Beebo_RMBHitEnemies_3.1
BountyHunter_ShiftLandLMBs,True,False,False,,False,False,,True,,Never,,HunterMissions,BountyHunter,,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_ShiftLandLMBs.1
BountyHunter_ShiftLandLMBs_1,True,False,False,BountyHunter_ShiftLandLMB_1,True,False,,False,BountyHunter_ShiftLandLMBs,Production,0.27,HunterMissions,BountyHunter,10000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_ShiftLandLMBs_1.1
BountyHunter_ShiftLandLMBs_2,True,False,False,BountyHunter_ShiftLandLMB_2,True,False,,False,BountyHunter_ShiftLandLMBs,Production,0.27,HunterMissions,BountyHunter,20000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_ShiftLandLMBs_2.1
BountyHunter_ShiftLandLMBs_3,True,False,False,BountyHunter_ShiftLandLMB_3,True,False,,False,BountyHunter_ShiftLandLMBs,Production,0.27,HunterMissions,BountyHunter,20000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_ShiftLandLMBs_3.1
BountyHunter_StunEnemies,True,False,False,,False,False,,True,,Never,,HunterMissions,BountyHunter,,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_StunEnemies.1
BountyHunter_StunEnemies_1,True,True,True,BountyHunter_StunEnemies_1,True,True,BountyHunter_StunEnemies_1,False,BountyHunter_StunEnemies,Production,0.27,HunterMissions,BountyHunter,10000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_StunEnemies_1.1
BountyHunter_StunEnemies_2,True,True,True,BountyHunter_StunEnemies_2,True,True,BountyHunter_StunEnemies_2,False,BountyHunter_StunEnemies,Production,0.27,HunterMissions,BountyHunter,20000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_StunEnemies_2.1
BountyHunter_StunEnemies_3,True,True,True,BountyHunter_StunEnemies_3,True,True,BountyHunter_StunEnemies_3,False,BountyHunter_StunEnemies,Production,0.27,HunterMissions,BountyHunter,20000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_StunEnemies_3.1
BountyHunter_UltKnockEnemies,True,False,False,,False,False,,True,,Never,,HunterMissions,BountyHunter,,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_UltKnockEnemies.1
BountyHunter_UltKnockEnemies_1,False,False,True,BountyHunter_UltKnockEnemies_1,True,True,BountyHunter_UltKnockEnemies_1,False,BountyHunter_UltKnockEnemies,Production,0.27,HunterMissions,BountyHunter,10000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_UltKnockEnemies_1.1
BountyHunter_UltKnockEnemies_2,True,True,True,BountyHunter_UltKnockEnemies_2,True,True,BountyHunter_UltKnockEnemies_2,False,BountyHunter_UltKnockEnemies,Production,0.27,HunterMissions,BountyHunter,20000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_UltKnockEnemies_2.1
BountyHunter_UltKnockEnemies_3,True,True,True,BountyHunter_UltKnockEnemies_3,True,True,BountyHunter_UltKnockEnemies_3,False,BountyHunter_UltKnockEnemies,Production,0.27,HunterMissions,BountyHunter,20000,1,/Game/Loki/Core/Missions/HunterMissions/BountyHunter/DA_Mission_BountyHunter_UltKnockEnemies_3.1
BurstCaster_PassiveProc,True,False,False,,False,False,,True,,Never,,HunterMissions,BurstCaster,1000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/PassiveProc/DA_Mission_BurstCaster_PassiveProc.1
BurstCaster_PassiveProc_1,True,True,True,burstcaster_passiveproc_1,True,True,BurstCaster_PassiveProc_1,False,BurstCaster_PassiveProc,Production,0.21,HunterMissions,BurstCaster,10000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/PassiveProc/DA_Mission_BurstCaster_PassiveProc_1.1
BurstCaster_PassiveProc_2,True,True,True,burstcaster_passiveproc_2,True,True,BurstCaster_PassiveProc_2,False,BurstCaster_PassiveProc,Production,0.21,HunterMissions,BurstCaster,20000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/PassiveProc/DA_Mission_BurstCaster_PassiveProc_2.1
BurstCaster_PassiveProc_3,True,True,True,burstcaster_passiveproc_3,True,True,BurstCaster_PassiveProc_3,False,BurstCaster_PassiveProc,Production,0.21,HunterMissions,BurstCaster,20000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/PassiveProc/DA_Mission_BurstCaster_PassiveProc_3.1
BurstCaster_QMultiHit,True,False,False,,False,False,,True,,Never,,HunterMissions,BurstCaster,1000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/QMultiHit/DA_Mission_BurstCaster_QMultiHit.1
BurstCaster_QMultiHit_1,True,True,True,burstcaster_qmultihit_1,True,True,BurstCaster_QMultiHit_1,False,BurstCaster_QMultiHit,Production,0.21,HunterMissions,BurstCaster,10000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/QMultiHit/DA_Mission_BurstCaster_QMultiHit_1.1
BurstCaster_QMultiHit_2,True,True,True,burstcaster_qmultihit_2,True,True,BurstCaster_QMultiHit_2,False,BurstCaster_QMultiHit,Production,0.21,HunterMissions,BurstCaster,20000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/QMultiHit/DA_Mission_BurstCaster_QMultiHit_2.1
BurstCaster_QMultiHit_3,True,True,True,burstcaster_qmultihit_3,True,True,BurstCaster_QMultiHit_3,False,BurstCaster_QMultiHit,Production,0.21,HunterMissions,BurstCaster,20000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/QMultiHit/DA_Mission_BurstCaster_QMultiHit_3.1
BurstCaster_RMBReturnHit,True,False,False,,False,False,,True,,Never,,HunterMissions,BurstCaster,1000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/RMBReturnHit/DA_Mission_BurstCaster_RMBReturnHit.1
BurstCaster_RMBReturnHit_1,False,False,True,burstcaster_rmbreturnhit_1,True,True,BurstCaster_RMBReturnHit_1,False,BurstCaster_RMBReturnHit,Production,0.21,HunterMissions,BurstCaster,10000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/RMBReturnHit/DA_Mission_BurstCaster_RMBReturnHit_1.1
BurstCaster_RMBReturnHit_2,True,True,True,burstcaster_rmbreturnhit_2,True,True,BurstCaster_RMBReturnHit_2,False,BurstCaster_RMBReturnHit,Production,0.21,HunterMissions,BurstCaster,20000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/RMBReturnHit/DA_Mission_BurstCaster_RMBReturnHit_2.1
BurstCaster_RMBReturnHit_3,True,True,True,burstcaster_rmbreturnhit_3,True,True,BurstCaster_RMBReturnHit_3,False,BurstCaster_RMBReturnHit,Production,0.21,HunterMissions,BurstCaster,20000,1,/Game/Loki/Core/Missions/HunterMissions/BurstCaster/RMBReturnHit/DA_Mission_BurstCaster_RMBReturnHit_3.1
CompleteAllTutorialMaps,True,False,False,CompleteOnboardingMaps,True,False,,False,,Production,0.16,TutorialMaps,,,1,/Game/Loki/Core/Missions/NewOnboarding/DA_Mission_CompleteAllTutorialMaps.1
Earthtank_CreateRocks,True,False,False,,False,False,,True,,Production,1.1,HunterMissions,Earthtank,1000,1,/Game/Loki/Core/Missions/HunterMissions/Earthtank/DA_Mission_Earthtank_CreateRocks.1
Earthtank_CreateRocks_1,True,True,True,earthtank_createrocks_1,True,True,Earthtank_CreateRocks_1,False,Earthtank_CreateRocks,Production,1.1,HunterMissions,Earthtank,10000,1,/Game/Loki/Core/Missions/HunterMissions/Earthtank/DA_Mission_Earthtank_CreateRocks_1.1
Earthtank_CreateRocks_2,True,True,True,earthtank_createrocks_2,True,True,Earthtank_CreateRocks_2,False,Earthtank_CreateRocks,Production,1.1,HunterMissions,Earthtank,20000,1,/Game/Loki/Core/Missions/HunterMissions/Earthtank/DA_Mission_Earthtank_CreateRocks_2.1
Earthtank_CreateRocks_3,True,True,True,earthtank_createrocks_3,True,True,Earthtank_CreateRocks_3,False,Earthtank_CreateRocks,Production,1.1,HunterMissions,Earthtank,20000,1,/Game/Loki/Core/Missions/HunterMissions/Earthtank/DA_Mission_Earthtank_CreateRocks_3.1
Earthtank_DamageWithRocks,True,False,False,,False,False,,True,,Production,1.1,HunterMissions,Earthtank,1000,1,/Game/Loki/Core/Missions/HunterMissions/Earthtank/DA_Mission_Earthtank_DamageWithRocks.1
Earthtank_DamageWithRocks_1,True,True,True,earthtank_damagewithrocks_1,True,True,Earthtank_DamageWithRocks_1,False,Earthtank_DamageWithRocks,Production,1.1,HunterMissions,Earthtank,10000,1,/Game/Loki/Core/Missions/HunterMissions/Earthtank/DA_Mission_Earthtank_DamageWithRocks_1.1
Earthtank_DamageWithRocks_2,True,True,True,earthtank_damagewithrocks_2,True,True,Earthtank_DamageWithRocks_2,False,Earthtank_DamageWithRocks,Production,1.1,HunterMissions,Earthtank,20000,1,/Game/Loki/Core/Missions/HunterMissions/Earthtank/DA_Mission_Earthtank_DamageWithRocks_2.1
