kind,name,key,shift,ctrl,alt,cmd,scale,group,ability_input_id,bound,shipped_diff
action,CheatStunMe,NumPadFive,0,0,0,0,,cheat,,1,
action,CheatTakeDamage,NumPadEight,0,0,0,0,,cheat,,1,
action,CheatTeleportCursor,ThumbMouseButton,0,0,0,0,,cheat,,1,
action,CheatToggleCCImmune,None,0,0,0,0,,cheat,,0,
action,CheatToggleFixedCamera,None,0,0,0,0,,cheat,,0,
action,CheatToggleFloaty,None,0,0,0,0,,cheat,,0,
action,CheatToggleHealthRegen,None,0,0,0,0,,cheat,,0,
action,CheatToggleIncorporeal,None,0,0,0,0,,cheat,,0,
action,CheatToggleInfiniteHealthAndMana,O,0,0,0,0,,cheat,,1,
action,CheatToggleInvulnerable,NumPadZero,0,0,0,0,,cheat,,1,
action,CheatToggleKillDamage,Add,0,0,0,0,,cheat,,1,
action,CheatToggleManaRegen,None,0,0,0,0,,cheat,,0,
action,CheatToggleMinionIgnore,None,0,0,0,0,,cheat,,0,
action,CheatToggleNoCooldowns,L,0,0,0,0,,cheat,,1,
action,CheatToggleTimeline,None,0,0,0,0,,cheat,,0,
action,CheatUpgradePowersToMax,None,0,0,0,0,,cheat,,0,
action,DevCheatNoPacketsIn,Eight,0,0,0,0,,cheat,,1,
action,DevCheatNoPacketsInOrOut,Zero,0,0,0,0,,cheat,,1,
action,DevCheatNoPacketsOut,Nine,0,0,0,0,,cheat,,1,
action,DevCheatToggleHUD,F12,0,1,0,0,,cheat,,1,
action,ShowCheats,RightAlt,0,0,0,0,,cheat,,1,
action,ToggleDebugMenu,Backslash,0,1,0,0,,cheat,,1,
action,Ability1,LeftMouseButton,0,0,0,0,,combat,3,1,
action,Ability2,RightMouseButton,0,0,0,0,,combat,4,1,
action,Ability3,LeftShift,0,0,0,0,,combat,5,1,
action,Ability4,R,0,0,0,0,,combat,6,1,
action,CancelTarget,RightMouseButton,0,0,0,0,,combat,2,1,
action,CancelTargetAlt,Gamepad_FaceButton_Right,1,0,0,0,,combat,,1,
action,ConfirmTarget,LeftMouseButton,0,0,0,0,,combat,1,1,
action,ConfirmTargetAlt,Gamepad_RightTrigger,1,0,0,0,,combat,,1,
action,DodgeRoll,Q,0,0,0,0,,combat,15,1,
action,Freelook,None,0,0,0,0,,combat,14,0,
action,Glide,SpaceBar,0,0,0,0,,combat,11,1,
action,Jump,SpaceBar,0,0,0,0,,combat,8,1,
action,LevelAbilityModifier,LeftAlt,0,0,0,0,,combat,,1,
action,OptionalAbility,Q,0,0,0,0,,combat,12,1,
action,Recall,B,0,0,0,0,,combat,17,1,
action,Sprint,LeftControl,0,0,0,0,,combat,9,1,
action,Sprint,ThumbMouseButton,0,0,0,0,,combat,9,1,
action,Use,E,0,0,0,0,,combat,13,1,
action,CommsNo,C,0,0,0,0,,comms,,1,
action,CommsYes,X,0,0,0,0,,comms,,1,
action,OpenChat,Enter,0,0,0,0,,comms,,1,
action,PTTCoreGame,Z,0,0,0,0,,comms,,1,shipped=Y
action,PTTParty,P,0,0,0,0,,comms,,1,
action,Ping,MiddleMouseButton,0,0,0,0,,comms,,1,
action,ShowVOPlayer,None,0,0,0,0,,comms,,0,
action,ToggleMute,X,0,1,0,0,,comms,,1,
action,UI_SOCIAL_TOGGLE,F,0,0,0,0,,comms,,1,
action,Launch / Eject,LeftMouseButton,0,0,0,0,,drop,,1,
action,PassDropLeader,Z,0,0,0,0,,drop,,1,
action,SelectDropPodDestination,LeftMouseButton,0,0,0,0,,drop,,1,
action,OpenGlobalShop,V,0,0,0,0,,economy,,1,
action,Toggle Shop,G,0,0,0,0,,economy,20,1,shipped=P
action,UpgradeEquipment1,One,0,1,0,0,,economy,,1,
action,UpgradeEquipment2,Two,0,1,0,0,,economy,,1,
action,UpgradeEquipment4,Four,0,0,1,0,,economy,,1,
action,UpgradeEquipment5,Five,0,0,1,0,,economy,,1,
action,UpgradeEquipmentBoots,Three,0,1,0,0,,economy,,1,
action,UpgradeSpell_Dash,Gamepad_DPad_Left,1,0,0,0,,economy,,1,
action,UpgradeSpell_DodgeRoll,Gamepad_DPad_Right,1,0,0,0,,economy,,1,
action,UpgradeSpell_Main,Gamepad_FaceButton_Top,1,0,0,0,,economy,,1,
action,UpgradeSpell_Secondary,Gamepad_DPad_Up,1,0,0,0,,economy,,1,
action,UpgradeSpell_Ultimate,Gamepad_DPad_Down,1,0,0,0,,economy,,1,
action,UseInventory1,One,0,0,0,0,,economy,25,1,
action,UseInventory2,Two,0,0,0,0,,economy,26,1,
action,UseInventory3,Three,0,0,0,0,,economy,27,1,
action,UseInventory4,Four,0,0,0,0,,economy,28,1,
action,UseInventory5,Five,0,0,0,0,,economy,29,1,
action,UseInventory6,Six,0,0,0,0,,economy,30,1,
action,UseUtilitySlot1,F,0,0,0,0,,economy,23,1,
action,UseUtilitySlot2,G,0,0,0,0,,economy,24,1,
action,EmoteCheer,LeftMouseButton,0,0,0,0,,emote,19,1,
action,EmoteMenu,T,0,0,0,0,,emote,,1,
action,EmoteWheel01,None,0,0,0,0,,emote,,0,
action,EmoteWheel02,None,0,0,0,0,,emote,,0,
action,EmoteWheel03,None,0,0,0,0,,emote,,0,
action,EmoteWheel04,None,0,0,0,0,,emote,,0,
action,EmoteWheel05,None,0,0,0,0,,emote,,0,
action,EmoteWheel06,None,0,0,0,0,,emote,,0,
action,EmoteWheel07,None,0,0,0,0,,emote,,0,
action,EmoteWheel08,None,0,0,0,0,,emote,,0,
action,EmoteWheel09,None,0,0,0,0,,emote,,0,
action,EmoteWheel10,None,0,0,0,0,,emote,,0,
action,EmoteWheel11,None,0,0,0,0,,emote,,0,
action,EmoteWheel12,None,0,0,0,0,,emote,,0,
action,EmoteWheel13,None,0,0,0,0,,emote,,0,
action,EmoteWheel14,None,0,0,0,0,,emote,,0,
action,EmoteWheel15,None,0,0,0,0,,emote,,0,
action,EmoteWheel16,None,0,0,0,0,,emote,,0,
action,EmoteWheel17,None,0,0,0,0,,emote,,0,
action,EmoteWheel18,None,0,0,0,0,,emote,,0,
action,EmoteWheel19,None,0,0,0,0,,emote,,0,
action,EmoteWheel20,None,0,0,0,0,,emote,,0,
action,EmoteWheel21,None,0,0,0,0,,emote,,0,
action,EmoteWheel22,None,0,0,0,0,,emote,,0,
action,EmoteWheel23,None,0,0,0,0,,emote,,0,
action,EmoteWheel24,None,0,0,0,0,,emote,,0,
action,PlaceSpray,Z,0,0,0,0,,emote,,1,
action,Menu_NavBack,BackSpace,0,0,0,0,,menu-nav,,1,
action,Menu_NavLeft_Bottom,Z,0,0,0,0,,menu-nav,,1,
action,Menu_NavLeft_Sub,A,0,0,0,0,,menu-nav,,1,
action,Menu_NavLeft_Top,Q,0,0,0,0,,menu-nav,,1,
action,Menu_NavRight_Bottom,C,0,0,0,0,,menu-nav,,1,
action,Menu_NavRight_Sub,D,0,0,0,0,,menu-nav,,1,
action,Menu_NavRight_Top,E,0,0,0,0,,menu-nav,,1,
action,Menu_SelectMainOption,SpaceBar,0,0,0,0,,menu-nav,,1,
action,Menu_SelectOption1,S,0,0,0,0,,menu-nav,,1,
action,LookAtCapturePoint,E,0,0,0,0,,practice,21,1,
action,Practice_Respawn,N,0,0,0,0,,practice,,1,
action,Spectate Next Player,N,0,0,0,0,,spectate,18,1,
action,SpectatePlayer1,Z,0,0,0,0,,spectate,,1,
action,SpectatePlayer2,X,0,0,0,0,,spectate,,1,
action,SpectatePlayer3,C,0,0,0,0,,spectate,,1,
action,SpectatePlayer4,V,0,0,0,0,,spectate,,1,
action,SpectateTeam1,One,0,0,0,0,,spectate,,1,
action,SpectateTeam10,Zero,0,0,0,0,,spectate,,1,
action,SpectateTeam11,One,1,0,0,0,,spectate,,1,
action,SpectateTeam12,Two,1,0,0,0,,spectate,,1,
action,SpectateTeam13,Three,1,0,0,0,,spectate,,1,
action,SpectateTeam14,Four,1,0,0,0,,spectate,,1,
action,SpectateTeam15,Five,1,0,0,0,,spectate,,1,
action,SpectateTeam16,Six,1,0,0,0,,spectate,,1,
action,SpectateTeam17,Seven,1,0,0,0,,spectate,,1,
action,SpectateTeam18,Eight,1,0,0,0,,spectate,,1,
action,SpectateTeam19,Nine,1,0,0,0,,spectate,,1,
action,SpectateTeam2,Two,0,0,0,0,,spectate,,1,
action,SpectateTeam20,Zero,1,0,0,0,,spectate,,1,
action,SpectateTeam3,Three,0,0,0,0,,spectate,,1,
action,SpectateTeam4,Four,0,0,0,0,,spectate,,1,
action,SpectateTeam5,Five,0,0,0,0,,spectate,,1,
action,SpectateTeam6,Six,0,0,0,0,,spectate,,1,
action,SpectateTeam7,Seven,0,0,0,0,,spectate,,1,
action,SpectateTeam8,Eight,0,0,0,0,,spectate,,1,
action,SpectateTeam9,Nine,0,0,0,0,,spectate,,1,
action,SpectatorShowAllDetails,LeftAlt,0,0,0,0,,spectate,,1,
action,DetailedTooltips,LeftAlt,0,0,0,0,,ui,,1,
action,Toggle Map,M,0,0,0,0,,ui,,1,
action,Toggle Map,Tab,0,0,0,0,,ui,,1,
action,Toggle Settings Menu,Escape,0,0,0,0,,ui,,1,
action,ToggleAbilityOverlay,F1,0,0,0,0,,ui,,1,
action,ToggleHUD,H,0,1,0,0,,ui,,1,
action,ToggleScoreboard,CapsLock,0,0,0,0,,ui,,1,
action,ZoomMapIn,Equals,0,0,0,0,,ui,,1,
action,ZoomMapOut,Hyphen,0,0,0,0,,ui,,1,
axis,AimForward,None,,,,,+1,aim,,0,
axis,AimForwardAlt,Gamepad_LeftY,,,,,+1,aim,,1,
axis,AimRight,None,,,,,+1,aim,,0,
axis,AimRightAlt,Gamepad_LeftX,,,,,+1,aim,,1,
axis,MouseX,MouseX,,,,,+1,aim,,1,
axis,MouseY,MouseY,,,,,+1,aim,,1,
axis,Forward,Up,,,,,+1,movement,,1,
axis,Forward,W,,,,,+1,movement,,1,
axis,Forward,Down,,,,,-1,movement,,1,
axis,Forward,S,,,,,-1,movement,,1,
axis,Right,D,,,,,+1,movement,,1,
axis,Right,Right,,,,,+1,movement,,1,
axis,Right,A,,,,,-1,movement,,1,
axis,Right,Left,,,,,-1,movement,,1,
axis,Up,SpaceBar,,,,,+1,movement,,1,
axis,Up,LeftControl,,,,,-1,movement,,1,
