offset_hex,offset_dec,len_field,nul_form,rec_bytes,section,module,ptr_key,class,text
0x000734,1844,24,B,29,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision|Damage
0x000791,1937,25,B,30,A_modules,Airship/LokiAirship.as,,identifier,MaxGenericCollisionDamage
0x0007e3,2019,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0007f4,2036,24,B,29,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision|Damage
0x000851,2129,24,B,29,A_modules,Airship/LokiAirship.as,,identifier,MinGenericCollisionSpeed
0x0008a2,2210,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0008b3,2227,24,B,29,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision|Damage
0x000910,2320,24,B,29,A_modules,Airship/LokiAirship.as,,identifier,MaxGenericCollisionSpeed
0x000961,2401,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000972,2418,24,B,29,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision|Damage
0x0009cf,2511,31,B,36,A_modules,Airship/LokiAirship.as,,identifier,AirshipCollisionFrontMultiplier
0x000a27,2599,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000a38,2616,24,B,29,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision|Damage
0x000a95,2709,30,B,35,A_modules,Airship/LokiAirship.as,,identifier,AirshipCollisionRearMultiplier
0x000aec,2796,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000afd,2813,24,B,29,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision|Damage
0x000b5a,2906,20,B,25,A_modules,Airship/LokiAirship.as,,identifier,RoadkillImpactEffect
0x000ba7,2983,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000bb8,3000,23,B,28,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Damage
0x000c14,3092,17,B,22,A_modules,Airship/LokiAirship.as,,identifier,MinRoadkillDamage
0x000c5e,3166,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000c6f,3183,23,B,28,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Damage
0x000ccb,3275,17,B,22,A_modules,Airship/LokiAirship.as,,identifier,MaxRoadkillDamage
0x000d15,3349,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000d26,3366,23,B,28,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Damage
0x000d82,3458,31,B,36,A_modules,Airship/LokiAirship.as,,identifier,RoadkillDamageMinionCoefficient
0x000dda,3546,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000deb,3563,23,B,28,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Damage
0x000e47,3655,37,B,42,A_modules,Airship/LokiAirship.as,,identifier,RoadkillDamageDestructibleCoefficient
0x000ea5,3749,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000eb6,3766,23,B,28,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Damage
0x000f12,3858,22,B,27,A_modules,Airship/LokiAirship.as,,identifier,MinRoadkillDamageSpeed
0x000f61,3937,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x000f72,3954,23,B,28,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Damage
0x000fce,4046,22,B,27,A_modules,Airship/LokiAirship.as,,identifier,MaxRoadkillDamageSpeed
0x00101d,4125,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x00102e,4142,23,B,28,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Damage
0x00108a,4234,20,B,25,A_modules,Airship/LokiAirship.as,,identifier,MinRoadkillBoopSpeed
0x0010d7,4311,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0010e8,4328,21,B,26,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Boop
0x001142,4418,20,B,25,A_modules,Airship/LokiAirship.as,,identifier,MaxRoadkillBoopSpeed
0x00118f,4495,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0011a0,4512,21,B,26,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Boop
0x0011fa,4602,22,B,27,A_modules,Airship/LokiAirship.as,,identifier,MinRoadkillBoopForceXY
0x001249,4681,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x00125a,4698,21,B,26,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Boop
0x0012b4,4788,22,B,27,A_modules,Airship/LokiAirship.as,,identifier,MaxRoadkillBoopForceXY
0x001303,4867,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x001314,4884,21,B,26,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Boop
0x00136e,4974,21,B,26,A_modules,Airship/LokiAirship.as,,identifier,MinRoadkillBoopForceZ
0x0013bc,5052,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0013cd,5069,21,B,26,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Boop
0x001427,5159,21,B,26,A_modules,Airship/LokiAirship.as,,identifier,MaxRoadkillBoopForceZ
0x001475,5237,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x001486,5254,21,B,26,A_modules,Airship/LokiAirship.as,,string_literal,Airship Roadkill|Boop
0x0014e0,5344,13,B,18,A_modules,Airship/LokiAirship.as,,identifier,RunningEffect
0x001526,5414,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x001537,5431,12,B,17,A_modules,Airship/LokiAirship.as,,string_literal,Airship Fuel
0x001588,5512,16,B,21,A_modules,Airship/LokiAirship.as,,identifier,NumSecondsOfFuel
0x0015d1,5585,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0015e2,5602,12,B,17,A_modules,Airship/LokiAirship.as,,string_literal,Airship Fuel
0x001633,5683,29,B,34,A_modules,Airship/LokiAirship.as,,identifier,NumSecondsOfFuelWhileBoosting
0x001689,5769,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x00169a,5786,12,B,17,A_modules,Airship/LokiAirship.as,,string_literal,Airship Fuel
0x0016eb,5867,16,B,21,A_modules,Airship/LokiAirship.as,,identifier,FuelTickInterval
0x001734,5940,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x001745,5957,12,B,17,A_modules,Airship/LokiAirship.as,,string_literal,Airship Fuel
0x001796,6038,24,B,29,A_modules,Airship/LokiAirship.as,,identifier,MinEjectionRelativeSpeed
0x0017e7,6119,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0017f8,6136,17,B,22,A_modules,Airship/LokiAirship.as,,string_literal,Airship Collision
0x00184e,6222,16,B,21,A_modules,Airship/LokiAirship.as,,identifier,NextFuelTickTime
0x001893,6291,23,B,28,A_modules,Airship/LokiAirship.as,,identifier,HealthRegenTickInterval
0x0018e3,6371,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0018f4,6388,20,B,25,A_modules,Airship/LokiAirship.as,,string_literal,Airship Health Regen
0x00194d,6477,23,B,28,A_modules,Airship/LokiAirship.as,,identifier,NextHealthRegenTickTime
0x001999,6553,21,B,26,A_modules,Airship/LokiAirship.as,,identifier,HealthRegenThresholds
0x0019e7,6631,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x0019f8,6648,20,B,25,A_modules,Airship/LokiAirship.as,,string_literal,Airship Health Regen
0x001a51,6737,34,B,39,A_modules,Airship/LokiAirship.as,,identifier,HealthRegenDamagePhaseEffectHandle
0x001aa8,6824,29,B,34,A_modules,Airship/LokiAirship.as,,identifier,HealthRegenDamagePhaseEffects
0x001afe,6910,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,Category
0x001b0f,6927,20,B,25,A_modules,Airship/LokiAirship.as,,string_literal,Airship Health Regen
0x001b68,7016,29,B,34,A_modules,Airship/LokiAirship.as,,identifier,CurrentHealthRegenDamagePhase
0x001c02,7170,17,B,22,A_modules,Airship/LokiAirship.as,,identifier,LastRoadkillTimes
0x001c48,7240,25,B,30,A_modules,Airship/LokiAirship.as,,identifier,LastGenericCollisionTimes
0x001c9a,7322,14,B,19,A_modules,Airship/LokiAirship.as,,identifier,SetDamagePhase
0x001d01,7425,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,NewPhase
0x00205a,8282,14,B,19,A_modules,Airship/LokiAirship.as,,identifier,SetDamagePhase
0x0020bd,8381,24,B,29,A_modules,Airship/LokiAirship.as,,identifier,BeginPlay_Implementation
0x00222a,8746,9,B,14,A_modules,Airship/LokiAirship.as,,identifier,BeginPlay
0x002288,8840,24,B,29,A_modules,Airship/LokiAirship.as,,identifier,HandleHealthRegeneration
0x002451,9297,2,A,6,A_modules,Airship/LokiAirship.as,,suspect_short,0
0x0024e5,9445,1,B,6,A_modules,Airship/LokiAirship.as,,suspect_short,0
0x002671,9841,24,B,29,A_modules,Airship/LokiAirship.as,,identifier,HandleHealthRegeneration
0x0026de,9950,19,B,24,A_modules,Airship/LokiAirship.as,,identifier,Tick_Implementation
0x00274a,10058,12,B,17,A_modules,Airship/LokiAirship.as,,identifier,DeltaSeconds
0x002b8b,11147,4,B,9,A_modules,Airship/LokiAirship.as,,identifier,Tick
0x002be4,11236,11,B,16,A_modules,Airship/LokiAirship.as,,identifier,GetStrength
0x002d58,11608,11,B,16,A_modules,Airship/LokiAirship.as,,identifier,GetStrength
0x002db8,11704,19,B,24,A_modules,Airship/LokiAirship.as,,identifier,HandleGenericImpact
0x002e48,11848,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,HitActor
0x002e55,11861,9,B,14,A_modules,Airship/LokiAirship.as,,identifier,HitResult
0x002f27,12071,1,B,6,A_modules,Airship/LokiAirship.as,,identifier,J
0x00381f,14367,19,B,24,A_modules,Airship/LokiAirship.as,,identifier,HandleGenericImpact
0x003887,14471,27,B,32,A_modules,Airship/LokiAirship.as,,identifier,ApplyGenericCollisionDamage
0x00391f,14623,12,B,17,A_modules,Airship/LokiAirship.as,,identifier,DamageAmount
0x003930,14640,19,B,24,A_modules,Airship/LokiAirship.as,,identifier,CollisionInstigator
0x0039f0,14832,1,B,6,A_modules,Airship/LokiAirship.as,,identifier,J
0x003a48,14920,1,B,6,A_modules,Airship/LokiAirship.as,,identifier,J
0x003cb8,15544,27,B,32,A_modules,Airship/LokiAirship.as,,identifier,ApplyGenericCollisionDamage
0x003d28,15656,29,B,34,A_modules,Airship/LokiAirship.as,,identifier,HasRecentlyCollidedWithTarget
0x003d9e,15774,20,B,25,A_modules,Airship/LokiAirship.as,,identifier,CollisionTargetActor
0x003ee3,16099,16,B,21,A_modules,Airship/LokiAirship.as,,identifier,IsRoadkillImmune
0x003f4c,16204,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,HitActor
0x003f81,16257,1,B,6,A_modules,Airship/LokiAirship.as,,suspect_short,=
0x00402d,16429,23,B,28,A_modules,Airship/LokiAirship.as,,identifier,HandleRoadkillCollision
0x00409d,16541,8,B,13,A_modules,Airship/LokiAirship.as,,identifier,HitActor
0x0041ea,16874,1,B,6,A_modules,Airship/LokiAirship.as,,identifier,J
0x0044da,17626,1,B,6,A_modules,Airship/LokiAirship.as,,identifier,J
0x004532,17714,1,B,6,A_modules,Airship/LokiAirship.as,,identifier,J
0x004916,18710,2,A,6,A_modules,Airship/LokiAirship.as,,suspect_short,0
0x004f3e,20286,23,B,28,A_modules,Airship/LokiAirship.as,,identifier,HandleRoadkillCollision
0x004faa,20394,27,B,32,A_modules,Airship/LokiAirship.as,,identifier,HasRecentlyRoadkilledTarget
0x00501e,20510,19,B,24,A_modules,Airship/LokiAirship.as,,identifier,RoadkillTargetActor
0x005162,20834,20,B,25,A_modules,Airship/LokiAirship.as,,identifier,ImpulseAllPassengers
0x0051f3,20979,12,B,17,A_modules,Airship/LokiAirship.as,,identifier,ImpulseForce
0x005204,20996,14,B,19,A_modules,Airship/LokiAirship.as,,identifier,bForceDismount
0x00548f,21647,20,B,25,A_modules,Airship/LokiAirship.as,,identifier,ImpulseAllPassengers
0x005540,21824,15,B,20,A_modules,Airship/LokiAirship.as,,identifier,ALokiAirship_AS
0x005984,22916,16,B,21,A_modules,Airship/LokiAirship.as,,other,~ALokiAirship_AS
0x005aad,23213,12,B,17,A_modules,Airship/LokiAirship.as,,identifier,ALokiAirship
0x005abe,23230,24,B,29,A_modules,Airship/LokiAirship.as,,asset_path,/Script/Loki.LokiAirship
0x005afb,23291,28,B,33,A_modules,Airship/LokiAirship.as,,statictype_alias,__StaticType_ALokiAirship_AS
0x005b34,23348,28,B,33,A_modules,Airship/LokiAirship.as,,statictype_alias,__StaticType_ALokiAirship_AS
0x005b9d,23453,22,B,27,A_modules,Airship/LokiAirship.as,,source_path,Airship/LokiAirship.as
0x005bbc,23484,25,A,29,A_modules,Armory/LokiArmoryGlobals.as,,dotted_name,Armory.LokiArmoryGlobals
0x005bd9,23513,24,B,29,A_modules,Armory/LokiArmoryGlobals.as,,dotted_name,Armory.LokiArmoryGlobals
0x005bfa,23546,26,B,31,A_modules,Armory/LokiArmoryGlobals.as,,identifier,GetPerTierPowerDescription
0x005c6d,23661,9,B,14,A_modules,Armory/LokiArmoryGlobals.as,,identifier,ItemClass
0x006027,24615,2,A,6,A_modules,Armory/LokiArmoryGlobals.as,,suspect_short,!
0x0061d7,25047,26,B,31,A_modules,Armory/LokiArmoryGlobals.as,,identifier,GetPerTierPowerDescription
0x006246,25158,22,B,27,A_modules,Armory/LokiArmoryGlobals.as,,identifier,IsItemSpellDescription
0x0062d9,25305,4,B,9,A_modules,Armory/LokiArmoryGlobals.as,,identifier,Item
0x0062e2,25314,9,B,14,A_modules,Armory/LokiArmoryGlobals.as,,identifier,StarCount
0x0064bc,25788,22,B,27,A_modules,Armory/LokiArmoryGlobals.as,,identifier,IsItemSpellDescription
0x006527,25895,22,B,27,A_modules,Armory/LokiArmoryGlobals.as,,identifier,GetUniqueEffectForStar
0x0065ba,26042,9,B,14,A_modules,Armory/LokiArmoryGlobals.as,,identifier,ItemClass
0x0065c8,26056,9,B,14,A_modules,Armory/LokiArmoryGlobals.as,,identifier,StarCount
0x00690e,26894,22,B,27,A_modules,Armory/LokiArmoryGlobals.as,,identifier,GetUniqueEffectForStar
0x006979,27001,32,B,37,A_modules,Armory/LokiArmoryGlobals.as,,identifier,GetArmoryUniqueEffectTextForItem
0x006a3a,27194,4,B,9,A_modules,Armory/LokiArmoryGlobals.as,,identifier,Item
0x006a43,27203,18,B,23,A_modules,Armory/LokiArmoryGlobals.as,,identifier,InactiveWarningFmt
0x006a5a,27226,11,B,16,A_modules,Armory/LokiArmoryGlobals.as,,identifier,LevelUpText
0x006b46,27462,1,B,6,A_modules,Armory/LokiArmoryGlobals.as,,identifier,J
0x006f76,28534,1,B,6,A_modules,Armory/LokiArmoryGlobals.as,,suspect_short, 
0x006fef,28655,37,B,42,A_modules,Armory/LokiArmoryGlobals.as,,identifier,GetArmoryUniqueEffectTextForItemClass
0x0070b5,28853,9,B,14,A_modules,Armory/LokiArmoryGlobals.as,,identifier,ItemClass
0x0070c3,28867,18,B,23,A_modules,Armory/LokiArmoryGlobals.as,,identifier,InactiveWarningFmt
0x0070da,28890,11,B,16,A_modules,Armory/LokiArmoryGlobals.as,,identifier,LevelUpText
0x007342,29506,1,B,6,A_modules,Armory/LokiArmoryGlobals.as,,identifier,J
0x00762a,30250,1,B,6,A_modules,Armory/LokiArmoryGlobals.as,,identifier,P
0x007692,30354,2,A,6,A_modules,Armory/LokiArmoryGlobals.as,,identifier,M
0x007c32,31794,1,B,6,A_modules,Armory/LokiArmoryGlobals.as,,suspect_short,%
0x007cb0,31920,33,B,38,A_modules,Armory/LokiArmoryGlobals.as,,identifier,HasEffectsIgnoredInConciseTooltip
0x007d2a,32042,13,B,18,A_modules,Armory/LokiArmoryGlobals.as,,identifier,UniqueEffects
0x007dbc,32188,1,B,6,A_modules,Armory/LokiArmoryGlobals.as,,identifier,R
0x007eac,32428,1,B,6,A_modules,Armory/LokiArmoryGlobals.as,,suspect_short,!
0x007f42,32578,38,B,43,A_modules,Armory/LokiArmoryGlobals.as,,identifier,Module_Armory_LokiArmoryGlobalsStatics
0x007f75,32629,27,B,32,A_modules,Armory/LokiArmoryGlobals.as,,source_path,Armory/LokiArmoryGlobals.as
0x007f99,32665,43,A,47,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,dotted_name,Armory.LokiPlayerControllerArmoryComponent
0x007fc8,32712,42,B,47,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,dotted_name,Armory.LokiPlayerControllerArmoryComponent
0x007ffb,32763,36,B,41,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ULokiPlayerControllerArmoryComponent
0x0080c0,32960,11,B,16,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,StaticClass
0x0080d0,32976,36,B,41,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ULokiPlayerControllerArmoryComponent
0x00819d,33181,3,B,8,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Get
0x0081a5,33189,36,B,41,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ULokiPlayerControllerArmoryComponent
0x008242,33346,5,B,10,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Actor
0x00824c,33356,8,B,13,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,WithName
0x00826d,33389,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,default_arg_expr,NAME_None
0x0082fb,33531,11,B,16,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,GetOrCreate
0x00830b,33547,36,B,41,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ULokiPlayerControllerArmoryComponent
0x0083a8,33704,5,B,10,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Actor
0x0083b2,33714,8,B,13,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,WithName
0x0083d3,33747,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,default_arg_expr,NAME_None
0x008461,33889,6,B,11,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Create
0x00846c,33900,36,B,41,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ULokiPlayerControllerArmoryComponent
0x008509,34057,5,B,10,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Actor
0x008513,34067,8,B,13,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,WithName
0x008534,34100,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,default_arg_expr,NAME_None
0x0085c2,34242,1,B,6,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,suspect_short,$
0x0085fb,34299,13,B,18,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,RelicSlotName
0x008685,34437,12,B,17,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,PerkSlotName
0x00870e,34574,13,B,18,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,BootsSlotName
0x008798,34712,13,B,18,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,bLoadComplete
0x008822,34850,13,B,18,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,PurchasedKits
0x0088ac,34988,13,B,18,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,LoadedClasses
0x008936,35126,13,B,18,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,DefaultArmory
0x0089c0,35264,6,B,11,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Handle
0x008a43,35395,13,B,18,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,DisabledItems
0x008ad5,35541,20,B,25,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,DisabledItemAssetIDs
0x008b6e,35694,25,B,30,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,OnPlayerInitializedHandle
0x008bc0,35776,24,B,29,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,BeginPlay_Implementation
0x008d69,36201,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,BeginPlay
0x008dc7,36295,22,B,27,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,EndPlay_Implementation
0x008e36,36406,13,B,18,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,EndPlayReason
0x008ef8,36600,7,B,12,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,EndPlay
0x008f54,36692,15,B,20,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,IsArmoryEnabled
0x009058,36952,15,B,20,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,IsArmoryEnabled
0x0090bc,37052,21,B,26,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,GetArmoryItemsForShop
0x0092fe,37630,1,B,6,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,P
0x00932a,37674,2,A,6,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,suspect_short,=
0x0093c6,37830,2,A,6,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,P
0x0095ee,38382,2,A,6,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,suspect_short,(
0x0097f2,38898,21,B,26,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,GetArmoryItemsForShop
0x00985c,39004,17,B,22,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,GetArmoryTrinkets
0x0099be,39358,17,B,22,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,GetArmoryTrinkets
0x009a24,39460,23,B,28,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ServerSwapSlotAndBuyKit
0x009adc,39644,4,B,9,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Item
0x009ae5,39653,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ItemClass
0x009af3,39667,18,B,23,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,InventorySlotIndex
0x009b6a,39786,2,A,6,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,0x26e77fc8ac0,suspect_short,\
0x009bca,39882,38,B,43,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ServerSwapSlotAndBuyKit_Implementation
0x009c91,40081,4,B,9,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Item
0x009c9a,40090,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ItemClass
0x009ca8,40104,18,B,23,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,InventorySlotIndex
0x009e07,40455,23,B,28,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ServerSwapSlotAndBuyKit
0x009e73,40563,24,B,29,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ServerSellSlotAndBuyItem
0x009f2c,40748,4,B,9,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Item
0x009f35,40757,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ItemClass
0x009f43,40771,18,B,23,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,InventorySlotIndex
0x009fba,40890,2,A,6,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,0x26e77fc8ac0,suspect_short,]
0x00a01a,40986,39,B,44,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ServerSellSlotAndBuyItem_Implementation
0x00a0e2,41186,4,B,9,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,Item
0x00a0eb,41195,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ItemClass
0x00a0f9,41209,18,B,23,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,InventorySlotIndex
0x00a258,41560,24,B,29,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,ServerSellSlotAndBuyItem
0x00a2c5,41669,18,B,23,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,AuthSellItemAtSlot
0x00a354,41812,8,B,13,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,SlotName
0x00a361,41825,9,B,14,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,SlotIndex
0x00a55b,42331,18,B,23,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,AuthSellItemAtSlot
0x00a5c2,42434,15,B,20,A_modules,Armory/LokiPlayerControllerArmoryComponent.as,,identifier,AuthSellItem_BP
